アプリ,場所,インドネシア語（画面の表示）,日本語（併記）,直したい表現があれば記入
文型アプリ,画面の文字,Pola Kalimat Kaigo ｜ 介護の文型,,
文型アプリ,画面の文字,Pola Kalimat Kaigo,,
文型アプリ,画面の文字,Masukkan kata sandi,合言葉を入力してください,
文型アプリ,画面の文字,Masuk,入る,
文型アプリ,画面の文字,Tanyakan kata sandi kepada perusahaan Anda,,
文型アプリ,画面の文字,⚠ Versi lama tersimpan di browser. Tekan Ctrl+Shift+R,古い版が残っています。Ctrl+Shift+R で読み込み直してください。,
文型アプリ,画面の文字,Tata bahasa JLPT N5–N3 untuk lokasi kerja,介護の現場で使うJLPT文型,
文型アプリ,画面の文字,🌐 ID,,
文型アプリ,画面の文字,Daftar Pola,,
文型アプリ,画面の文字,Semua,すべて,
文型アプリ,画面の文字,Semua kategori,すべての分類,
文型アプリ,画面の文字,Semua status,すべて,
文型アプリ,画面の文字,Belum,未学習,
文型アプリ,画面の文字,Perlu ulang,要復習,
文型アプリ,画面の文字,Sudah hafal,覚えた,
文型アプリ,画面の文字,Memuat…,読み込み中…,
文型アプリ,画面の文字,Level,レベル,
文型アプリ,画面の文字,Semua pola,全部,
文型アプリ,画面の文字,Jenis soal,形式,
文型アプリ,画面の文字,Isian,穴埋め,
文型アプリ,画面の文字,Arti,意味,
文型アプリ,画面の文字,Susun,並べ替え,
文型アプリ,画面の文字,Jumlah,問題数,
文型アプリ,画面の文字,Semua,全部,
文型アプリ,画面の文字,Mulai,開始,
文型アプリ,画面の文字,Berhenti,やめる,
文型アプリ,画面の文字,Berikutnya,次へ ▶,
文型アプリ,画面の文字,Periksa,確認,
文型アプリ,画面の文字,Ulangi,もう一度,
文型アプリ,画面の文字,Yang salah saja,間違いだけ,
文型アプリ,画面の文字,Selesai,終わる,
文型アプリ,画面の文字,PERLU DIULANG,要復習の文型,
文型アプリ,画面の文字,⬇ Simpan catatan,記録を書き出す,
文型アプリ,画面の文字,🗑 Hapus catatan,記録を消す,
文型アプリ,画面の文字,△ Perlu ulang,要復習,
文型アプリ,画面の文字,✓ Hafal,覚えた,
